"","Project ID","Project.Type","Offset.Project Operator","Project.Name","Offsets issued","Number of Offsets Un-retired (Estimated, as of Dec. 2018)","Percent of Offsets Sold (Estimated, as of Dec. 2018)","Vintage.Year","Offset Designation","Type of Protocol","Invalidation Period End Date","Issuance Date"
"710","CAFR5360-A","U.S. Forest","Ahtna, Incorporated","Finite Carbon – Ahtna Native",12502637,8061951,"36%","2017","CCO-8","Compliance",2025-07-02,2018-10-09
"704","CAFR5195-C","U.S. Forest","Finite Carbon","Finite Carbon –",107913,107913,"0%","2017","CCO-8","Compliance",2025-08-31,2018-11-27
"679","CALS5128-C","Livestock","Farm Power Lynden","Farm Power Lynden Anaerobic",9347,0,"100%","2017","CCO-3","Compliance",2020-07-31,2018-02-13
"659","CALS5120-B","Livestock","Fair Oaks Dairy","Fair Oaks Dairy Farm LLC",67868,67868,"0%","2017","CCO-8","Compliance",2024-08-31,2017-04-25
"648","CAOD5358-A","Ozone Depleting Substances","EOS Climate (Blue Source)","EOS ACR 358",60749,0,"100%","2017","CCO-8","Compliance",2025-04-12,2017-07-25
"647","CAOD5357-A","Ozone Depleting Substances","EOS Climate (Blue Source)","EOS ACR 357",84131,22394,"73%","2017","CCO-8","Compliance",2025-01-31,2017-04-11
"573","CAMM5367-A","Mine Methane","Vessels Coal Inc","Elk Creek Permit Area",230848,211366,"8%","2017","CCO-3","Compliance",2020-01-31,2017-10-10
"548","CALS5139-C","Livestock","Edaleen Cow Power","Edaleen Cow Power, LLC",8424,8424,"0%","2017","CCO-3","Compliance",2020-08-31,2018-06-12
"515","CAOD5288-A","Ozone Depleting Substances","A-Gas","DPC Domestic ODS",110990,0,"100%","2017","CCO-3","Compliance",2020-04-20,2017-12-12
"487","CAOD5321-A","Ozone Depleting Substances","A-Gas","DPC Domestic ODS",55471,0,"100%","2017","CCO-3","Compliance",2020-02-10,2017-07-25
"471","CAOD5372-A","Ozone Depleting Substances","A-Gas","DPC Domestic ODS",51298,0,"100%","2017","CCO-8","Compliance",2025-09-09,2018-01-23
"439","CALS5108-C","Livestock","Ag Power Llc","Double A Dairy",55058,55058,"0%","2017","CCO-8","Compliance",2025-12-21,2018-06-26
"421","CALS5127-C","Livestock","Riverview LLP","District 45 Dairy",13879,0,"100%","2017","CCO-8","Compliance",2025-10-31,2018-04-24
"400","CALS5020-D","Livestock","WTE Dairies","Deer Run Digester",9352,0,"100%","2017","CCO-3","Compliance",2020-03-31,2017-11-07
"388","CALS5021-D","Livestock","WTE Dairies","Dairyland Digester",27406,0,"100%","2017","CCO-3","Compliance",2020-03-31,2017-11-21
"384","CALS5109-C","Livestock","Native Energy","Dairy Dreams Methane",16999,0,"100%","2017","CCO-8","Compliance",2025-09-30,2018-03-27
"369","CALS5074-D","Livestock","CSE","CSE Arizona Facility",14915,0,"100%","2017","CCO-3","Compliance",2020-03-31,2017-12-12
"356","CALS5353-A","Livestock","Cow Poo LLc","Cow Poo Digester",7781,44,"99%","2017","CCO-8","Compliance",2025-06-30,2017-12-26
"344","CALS5151-C","Livestock","Blue Spruce Energy","Cottonwood Dairy Livestock",7893,7893,"0%","2017","CCO-8","Compliance",2025-12-31,2018-10-09
"333","CAMM5244-B","Mine Methane","Keyrock Energy Inc","Corinth Abandoned Mine",205323,204700,"0%","2017","CCO-3","Compliance",2020-12-31,2018-05-08
"323","CAOD5369-A","Ozone Depleting Substances","A-Gas","Coolgas 2017-7",33184,25000,"25%","2017","CCO-3","Compliance",2020-09-19,2017-12-26
"322","CAOD5347-A","Ozone Depleting Substances","A-Gas","Coolgas 2017-5",50793,0,"100%","2017","CCO-8","Compliance",2025-06-23,2018-07-10
"321","CAOD5348-A","Ozone Depleting Substances","A-Gas","Coolgas 2016-4",96564,8793,"91%","2017","CCO-3","Compliance",2020-01-31,2017-04-11
"303","CAOD5328-A","Ozone Depleting Substances","ClimeCo Corporation","ClimeCo ODS Destruction 23",44681,2627,"94%","2017","CCO-3","Compliance",2020-11-15,2018-09-11
"302","CAOD5327-A","Ozone Depleting Substances","ClimeCo Corporation","ClimeCo ODS Destruction 22",53956,0,"100%","2017","CCO-3","Compliance",2020-10-13,2018-06-12
"301","CAOD5366-A","Ozone Depleting Substances","ClimeCo Corporation","ClimeCo ODS Destruction 21",140452,0,"100%","2017","CCO-3","Compliance",2020-07-24,2018-01-09
"300","CAOD5338-A","Ozone Depleting Substances","ClimeCo Corporation","ClimeCo ODS Destruction 20",72606,2606,"96%","2017","CCO-3","Compliance",2020-04-10,2017-09-12
"295","CALS5123-C","Livestock","Central Sands Dairy","Central Sands Dairy, LLC",17443,17443,"0%","2017","CCO-3","Compliance",2020-03-31,2018-03-13
"280","CAFR5377-A","U.S. Forest","California Timberlands","Cappell Creek Improved Forest",302769,302769,"0%","2017","CCO-8","Compliance",2025-03-16,2018-10-23
"273","CALS5183-A","Livestock","ABEC Bidart-Old","CalBio ORRD Project",74174,48985,"34%","2017","CCO-8","Compliance",2025-08-25,2018-07-24
"262","CAFR5055-D","U.S. Forest",NA,"Buckeye Forest Project",58030,13030,"78%","2017","CCO-8","Compliance",2025-05-31,2018-09-11
"259","CAFR5096-D","U.S. Forest","Coastal Forestlands,","Brushy Mountain",60036,60036,"0%","2017","CCO-8","Compliance",2025-09-30,2018-08-21
"249","CAFR5200-C","U.S. Forest","Edward Miller","Brush Creek",9436,9436,"0%","2017","CCO-8","Compliance",2025-06-30,2018-01-09
"235","CALS5041-D","Livestock","Brook View Dairy","Brook View Dairy Methane",17178,0,"100%","2017","CCO-3","Compliance",2020-01-31,2017-06-13
"209","CALS5122-C","Livestock","Bridgewater Dairy","Bridgewater Dairy LLC",9075,9075,"0%","2017","CCO-3","Compliance",2020-03-31,2017-09-26
"192","CAFR5309-A","U.S. Forest","Blue Source","Blue Source – Wolf River",478930,171000,"64%","2017","CCO-8","Compliance",2025-05-31,2018-10-23
"166","CAFR5207-A","U.S. Forest","Blue Source","Blue Source – Powellton",1251198,1156115,"8%","2017","CCO-8","Compliance",2025-04-30,2018-03-27
"156","CAFR5373-A","U.S. Forest","Blue Source","Blue Source – Northwoods",325415,325415,"0%","2017","CCO-8","Compliance",2025-12-01,2019-02-26
"143","CAFR5230-A","U.S. Forest","Finite Carbon","Blue Source – Marmet",823265,823265,"0%","2017","CCO-8","Compliance",2025-04-30,2019-03-12
"142","CAFR5229-A","U.S. Forest","Finite Carbon","Blue Source – Lonesome Pine",447124,447124,"0%","2017","CCO-8","Compliance",2025-05-31,2019-03-26
"141","CAFR5371-A","U.S. Forest","Blue Source","Blue Source – Great Mountain",293972,293972,"0%","2017","CCO-8","Compliance",2025-09-09,2019-05-07
"117","CAFR5226-A","U.S. Forest","Blue Source","Blue Source – Allegheny",1711529,157574,"91%","2017","CCO-8","Compliance",2025-04-30,2018-10-23
"114","CALS5014-E","Livestock","Blue Mountain Biogas.","Blue Mountain Biogas",21603,11156,"48%","2017","CCO-8","Compliance",2025-07-31,2018-04-24
"108","CAFR5232-B","U.S. Forest","Western Rivers Forestry","Blue Creek",183464,0,"100%","2017","CCO-8","Compliance",2025-06-30,2018-06-12
"100","CALS5023-E","Livestock","Big Sky Dairy","Big Sky Dairy",24835,24835,"0%","2017","CCO-8","Compliance",2025-10-29,2018-08-21
"80","CAFR5106-B","U.S. Forest","The Conservation Fund","Big River / Salmon Creek",57954,57954,"0%","2017","CCO-8","Compliance",2025-04-15,2018-09-25
"62","CAFR5212-C","U.S. Forest","Bewley Ranches","Bewley Ranches",57955,57955,"0%","2017","CCO-8","Compliance",2025-09-30,2019-01-22
"57","CALS5152-D","Livestock","Aurora Ridge Dairy","Aurora Ridge Dairy",13353,13353,"0%","2017","CCO-8","Compliance",2025-12-31,2018-12-11
"45","CALS5134-C","Livestock","Alliance Dairies","Alliance Dairy",14054,14054,"0%","2017","CCO-3","Compliance",2020-11-05,2019-01-22
"19","CAOD5326-A","Ozone Depleting Substances",NA,"A-Gas Americas 2018-1",154972,0,"100%","2017","CCO-8","Compliance",2025-11-28,2018-03-13
"18","CAOD5362-A","Ozone Depleting Substances",NA,"A-Gas Americas 2017-8",223464,111732,"50%","2017","CCO-3","Compliance",2020-09-19,2017-12-12
"17","CAOD5368-A","Ozone Depleting Substances",NA,"A-Gas Americas 2017-6",55404,0,"100%","2017","CCO-8","Compliance",2025-07-15,2017-10-24
"16","CAOD5344-A","Ozone Depleting Substances",NA,"A-Gas Americas 2017-4",122128,50000,"59%","2017","CCO-3","Compliance",2020-06-13,2017-08-22
"15","CAOD5320-A","Ozone Depleting Substances",NA,"A-Gas Americas 2017-3",140698,0,"100%","2017","CCO-8","Compliance",2025-03-17,2017-07-11
"14","CAOD5318-A","Ozone Depleting Substances",NA,"A-Gas Americas 2017-2",140916,1e+05,"29%","2017","CCO-3","Compliance",2020-02-25,2017-06-13
"13","CAOD5298-A","Ozone Depleting Substances",NA,"A-Gas Americas 2017-1",141207,67701,"52%","2017","CCO-3","Compliance",2020-01-13,2017-04-11
"1782","CAFR5011-D","U.S. Forest","Forest Carbon Partners","Yurok Tribe/Forest Carbon",90929,66374,"27%","2016","CCO-8","Compliance",2024-03-31,2017-12-12
"1772","CALS5332-A","Livestock","Yippee Farms","Yippee Farms",9696,9696,"0%","2016","CCO-0","Compliance",NA,2017-05-09
"1770","CAFR5199-B","U.S. Forest","Finite Carbon","Wyoming Improved Forest",233244,134987,"42%","2016","CCO-8","Compliance",2024-09-23,2018-06-12
"1768","CALS5030-A","Livestock","WTE Dairies","WTE-S&S Ag Enterprises, LLC",21241,21241,"0%","2016","CCO-0","Compliance",2019-03-31,2016-11-08
"1756","CALS5146-A","Livestock","WTE Dairies","WTE-Dallmann, LLC",25570,0,"100%","2016","CCO-0","Compliance",2019-03-31,2017-07-11
"1727","CALS5124-B","Livestock","Willow Point Dairy","Willow Point Dairy, LLC",18714,18714,"0%","2016","CCO-0","Compliance",2019-03-31,2016-12-27
"1706","CAFR5170-B","U.S. Forest","Coastal Ridges LLC","Willits Woods IFM",152358,152358,"0%","2016","CCO-8","Compliance",2024-12-31,2017-08-08
"1671","CALS5138-B","Livestock","Willet Dairy","Willet Dairy",15159,15159,"0%","2016","CCO-3","Compliance",2019-11-29,2017-07-25
"1660","CAFR5072-C","U.S. Forest","White Mountain Apache Tribe","White Mountain Apache Tribe",69317,62385,"10%","2016","CCO-8","Compliance",2024-07-31,2017-08-22
"1659","CAFR5253-A","U.S. Forest","White Mountain Apache Tribe","White Mountain Apache Tribe",5159212,3526358,"32%","2016","CCO-8","Compliance",2024-09-15,2018-05-08
"1646","CALS5126-B","Livestock","Riverview LLP","West River Farm Anaerobic",20998,0,"100%","2016","CCO-3","Compliance",2019-10-31,2017-05-09
"1631","CALS5019-C","Livestock","WTE Dairies","Wakker Digester",11479,11479,"0%","2016","CCO-0","Compliance",2019-03-31,2016-10-25
"1622","CAOD5343-A","Ozone Depleting Substances","Wabashco, Inc","Wabashco Clean Sweep 9",93298,0,"100%","2016","CCO-8","Compliance",2024-07-31,2016-11-08
"1621","CAOD5264-A","Ozone Depleting Substances","Wabashco, Inc","Wabashco Clean Sweep 8",111977,14469,"87%","2016","CCO-0","Compliance",2019-05-06,2016-07-12
"1620","CAOD5215-A","Ozone Depleting Substances","Wabashco, Inc","Wabashco Clean Sweep 7",116836,51579,"56%","2016","CCO-0","Compliance",2019-01-12,2016-03-22
"1611","CAFR5147-A","U.S. Forest","The Nature Conservancy","Virginia Conservation Forestry",61714,56431,"9%","2016","CCO-8","Compliance",2024-12-31,2018-08-21
"1597","CAFR5159-A","U.S. Forest","The Nature Conservancy","Virginia Conservation Forestry",41473,32396,"22%","2016","CCO-8","Compliance",2024-12-31,2018-02-13
"1567","CAFR5160-A","U.S. Forest","The Nature Conservancy","Virginia Conservation Forestry",25146,25146,"0%","2016","CCO-8","Compliance",2024-12-31,2018-02-27
"1554","CALS5176-B","Livestock","Dairy Energy Inc","Vanderhyde Dairy",9525,0,"100%","2016","CCO-3","Compliance",2019-07-31,2017-04-25
"1548","CALS5101-B","Livestock","ClimeCo Corporation","Vander Haak Dairy COP",1681,1681,"0%","2016","CCO-8","Compliance",2024-10-31,2018-12-11
"1546","CAFR5171-A","U.S. Forest","Pacific Forest Trust","Van Eck Forest",8426,8426,"0%","2016","CCO-8","Compliance",2024-12-31,2019-05-21
"1532","CAFR5281-C","U.S. Forest","Usal Redwood","Usal Redwood Forest – IFM",250962,250962,"0%","2016","CCO-8","Compliance",2024-12-31,2019-05-21
"1512","CAOD5359-A","Ozone Depleting Substances","Tradewater LLC","Tradewater ODS 3",97813,97813,"0%","2016","CCO-3","Compliance",2019-11-24,2017-02-07
"1509","CAOD5354-A","Ozone Depleting Substances","Tradewater LLC","Tradewater ODS 2",103357,0,"100%","2016","CCO-3","Compliance",2019-09-21,2016-12-13
"1498","CAOD5350-A","Ozone Depleting Substances","Tradewater LLC","Tradewater ODS 1",116741,9584,"92%","2016","CCO-3","Compliance",2019-08-13,2016-11-08
"1494","CALS5169-A","Livestock","TMF Biofuels","TMF Biofuels Dairy Digester",40632,15632,"62%","2016","CCO-0","Compliance",NA,2017-04-11
"1460","CALS5107-B","Livestock","Ag Power Llc","The Dry Creek Dairy Biofactory",50088,50088,"0%","2016","CCO-3","Compliance",2019-12-31,2017-08-22
"1436","CALS5047-D","Livestock","ClimeCo Corporation","T&M Windy Ridge Dairy",23322,0,"100%","2016","CCO-3","Compliance",2019-12-31,2018-10-26
"1430","CALS5046-D","Livestock","ClimeCo Corporation","T&M Hidden View Dairy",3944,0,"100%","2016","CCO-3","Compliance",2019-12-31,2018-10-26
"1416","CALS5045-C","Livestock","ClimeCo Corporation","T&M Herrema Dairy",16008,0,"100%","2016","CCO-0","Compliance",2019-01-31,2017-04-11
"1410","CALS5044-D","Livestock","ClimeCo Corporation","T&M Bos Dairy",9230,0,"100%","2016","CCO-3","Compliance",2019-12-31,2018-10-26
"1386","CALS5135-B","Livestock","Synergy Biogas","Synergy Biogas, LLC",8081,8081,"0%","2016","CCO-3","Compliance",2019-11-30,2017-05-09
"1373","CALS5145-A","Livestock","ClimeCo Corporation","Sunnyside Farms COP",51607,309,"99%","2016","CCO-3","Compliance",2019-12-31,2018-01-23
"1369","CALS5042-D","Livestock","Sunny Knoll Farms","Sunny Knoll Farms Anaerobic",4942,0,"100%","2016","CCO-8","Compliance",2024-10-31,2018-05-22
"1357","CALS5077-C","Livestock","Solar & Renewables Management","Stotz Southern Generation",13552,0,"100%","2016","CCO-0","Compliance",2019-04-30,2016-11-22
"1350","CALS5175-B","Livestock","Storms Hog","Storms Hog Power, LLC",7838,0,"100%","2016","CCO-3","Compliance",2019-10-31,2017-11-07
"1334","CALS5284-A","Livestock","ClimeCo Corporation","Spruce Haven Farm COP",8956,0,"100%","2016","CCO-0","Compliance",2019-03-31,2017-04-11
"1328","CAMM5178-B","Mine Methane","Solvay Chemicals Inc.","Solvay Chemicals, Inc. Waste",234621,0,"100%","2016","CCO-3","Compliance",2019-12-31,2017-08-22
"1321","CALS5040-B","Livestock","3Degrees","Scenic View Dairy Methane",18328,0,"100%","2016","CCO-0","Compliance",2019-01-31,2016-07-26
"1300","CAFR5028-D","U.S. Forest","Forest Carbon Partners","Round Valley Indian Tribes",2926,2926,"0%","2016","CCO-8","Compliance",2024-11-30,2019-02-12
"1296","CALS5223-B","Livestock",NA,"Rosendale Anaerobic Digester",36380,0,"100%","2016","CCO-3","Compliance",2019-09-15,2017-05-23
"1292","CALS5081-B","Livestock","Roeslein Alternative Energy","Roeslein Alternative Energy of",15258,0,"100%","2016","CCO-8","Compliance",2024-12-31,2018-02-27
"1256","CALS5132-C","Livestock","RES Agriculture","RES Ag – DM4-3 LLC",10526,0,"100%","2016","CCO-3","Compliance",2019-12-31,2017-09-12
"1250","CALS5133-C","Livestock","RES Agriculture","RES Ag – DM2-1 LLC",5934,0,"100%","2016","CCO-3","Compliance",2019-12-31,2017-09-26
"1214","CALS5293-A","Livestock","3Degrees","Port of Tillamook Bay Regional",20133,0,"100%","2016","CCO-8","Compliance",2024-06-12,2017-11-07
"1211","CALS5197-B","Livestock","Pixley Biogas","Pixley Biogas, LLC",10505,10505,"0%","2016","CCO-8","Compliance",2024-12-31,2019-01-22
"1208","CAOD5290-A","Ozone Depleting Substances","Perfect Score Technologies","Perfect Cycle ODS-2",42233,2233,"95%","2016","CCO-3","Compliance",2019-10-17,2017-03-07
"1200","CALS5144-B","Livestock","ClimeCo Corporation","Patterson Farms COP",5921,0,"100%","2016","CCO-0","Compliance",2019-06-30,2017-07-11
"1174","CALS5097-C","Livestock","Pagel's Dairy","Pagel's Ponderosa Dairy",22699,0,"100%","2016","CCO-3","Compliance",2019-09-30,2018-06-12
"1164","CALS5131-B","Livestock","Pacific Rim","Pacific Rim Dairy Digester",32279,32279,"0%","2016","CCO-3","Compliance",2019-12-31,2017-07-25
"1161","CALS5245-A","Livestock","Open Sky Ranch Dairy","Open Sky Ranch Dairy Digester",18782,29,"100%","2016","CCO-3","Compliance",2019-10-31,2017-05-23
"1146","CAFR5148-A","U.S. Forest","Forest Carbon Partners","Montesol – Forest Carbon",176441,176441,"0%","2016","CCO-8","Compliance",2024-11-15,2018-08-07
"1142","CAFR5016-D","U.S. Forest","Edward Miller","Miller Forest",6120,6120,"0%","2016","CCO-8","Compliance",2024-06-30,2017-10-24
"1119","CAMM5100-C","Mine Methane","McElroy Green Marketing","Marshall County VAM",271395,221395,"18%","2016","CCO-3","Compliance",2019-12-31,2017-09-26
"1111","CALS5155-B","Livestock","Maple Leaf Dairy","Maple Leaf Dairy West",14161,0,"100%","2016","CCO-3","Compliance",2019-07-31,2018-02-27
"1101","CALS5156-B","Livestock","Maple Leaf Dairy","Maple Leaf Dairy East",7403,7403,"0%","2016","CCO-3","Compliance",2019-07-31,2017-10-10
"1100","CAFR5280-A","U.S. Forest","Mailliard Ranch","Mailliard Ranch",763870,0,"100%","2016","CCO-8","Compliance",2024-06-30,2017-10-10
"1091","CALS5349-A","Livestock","3Degrees","Kettle Butte Digester",19666,0,"100%","2016","CCO-3","Compliance",2019-09-30,2017-04-25
"1082","CALS5025-C","Livestock","Ideal Family Farms","Ideal Family Farms Digester",4832,4832,"0%","2016","CCO-0","Compliance",2019-01-31,2017-04-11
"1079","CAFR5093-A","U.S. Forest","Huron Mountain","Huron Mountain Club Forest",1099667,1099667,"0%","2016","CCO-8","Compliance",2024-10-20,2019-07-09
"1059","CALS5289-A","Livestock","3Degrees","Homestead Green Energy",11533,0,"100%","2016","CCO-3","Compliance",2019-07-31,2017-04-25
"1049","CALS5154-B","Livestock","Holsum Dairies","Holsum Irish Dairy",16023,0,"100%","2016","CCO-0","Compliance",2019-03-31,2017-07-25
"1045","CALS5153-A","Livestock","Holsum Dairies","Holsum Elm Dairy",21782,0,"100%","2016","CCO-0","Compliance",2019-03-31,2017-07-25
"1038","CAFR5291-A","U.S. Forest","Mendocino Redwood Company","Hollow Tree",660635,660635,"0%","2016","CCO-8","Compliance",2024-06-13,2019-03-12
"1034","CALS5263-B","Livestock","High Island Dairy","High Island Dairy",15385,15385,"0%","2016","CCO-3","Compliance",2019-11-30,2017-12-12
"1015","CAFR5137-A","U.S. Forest","The Conservation Fund","Gualala River Forest – ARB",89607,89607,"0%","2016","CCO-8","Compliance",2024-05-31,2017-12-12
"997","CALS5143-C","Livestock","Grotegut Dairy","Grotegut Dairy Farm, Inc.",12913,12913,"0%","2016","CCO-3","Compliance",2019-07-31,2019-06-11
"984","CALS5180-A","Livestock","Green Valley","Green Valley Dairy Methane",30890,0,"100%","2016","CCO-0","Compliance",2019-04-30,2016-12-13
"970","CAFR5234-A","U.S. Forest","Green Diamond Resource Company","Green Diamond Resource",62905,0,"100%","2016","CCO-8","Compliance",2024-07-31,2017-12-12
"968","CAFR5233-A","U.S. Forest","Green Diamond Resource Company","Green Diamond Resource",136805,0,"100%","2016","CCO-8","Compliance",2024-12-15,2018-10-23
"960","CAFR5206-B","U.S. Forest","Milbury Plantation,","Green Assets – Milbury",316480,149919,"53%","2016","CCO-8","Compliance",2024-12-10,2017-06-13
"954","CAFR5105-B","U.S. Forest","Green Assets","Green Assets – Middleton",43045,3045,"93%","2016","CCO-3","Compliance",2019-08-14,2017-01-24
"932","CAFR5205-B","U.S. Forest","Green Assets","Green Assets – Lukens",147442,0,"100%","2016","CCO-8","Compliance",2024-10-29,2017-05-23
"925","CALS5094-A","Livestock","George DeRuyter and Sons Dairy","George DeRuyter and Sons",18652,0,"100%","2016","CCO-0","Compliance",2019-03-31,2016-11-22
"923","CALS5181-B","Livestock","Gardeau Crest","Gardeau Crest Dairy",14760,14760,"0%","2016","CCO-3","Compliance",2019-11-26,2017-07-25
"911","CAFR5141-A","U.S. Forest","The Conservation Fund","Garcia River Forest – ARB",82509,50754,"38%","2016","CCO-8","Compliance",2024-02-14,2017-06-13
"879","CAFR5283-A","U.S. Forest","Forest Carbon Partners","Forest Carbon Partners –",3719171,1942715,"48%","2016","CCO-8","Compliance",2024-08-15,2018-01-23
"852","CAFR5034-C","U.S. Forest","Finite Carbon","Finite Carbon – The Forestland",243447,243447,"0%","2016","CCO-8","Compliance",2024-01-07,2018-12-24
"832","CAFR5198-A","U.S. Forest","Finite Carbon","Finite Carbon – The",2384535,873112,"63%","2016","CCO-0","Compliance",2019-03-23,2016-12-13
"826","CAFR5204-A","U.S. Forest","Finite Carbon","Finite Carbon – Tennessee",272988,53007,"81%","2016","CCO-8","Compliance",2024-02-11,2016-11-08
"814","CAFR5294-A","U.S. Forest","Finite Carbon","Finite Carbon – Sealaska",9306732,4731970,"49%","2016","CCO-3","Compliance",2019-12-09,2018-03-13
"747","CAFR5130-B","U.S. Forest","Finite Carbon","Finite Carbon – MWF",9148,9148,"0%","2016","CCO-8","Compliance",2024-04-30,2019-05-21
"727","CAFR5089-C","U.S. Forest","Finite Carbon","Finite Carbon – JTO Champion",35979,3957,"89%","2016","CCO-8","Compliance",2024-08-31,2017-12-12
"721","CAFR5225-A","U.S. Forest","Finite Carbon","Finite Carbon – Colville IFM",12163578,7609851,"37%","2016","CCO-0","Compliance",2019-07-07,2017-09-26
"718","CAFR5182-A","U.S. Forest","Finite Carbon","Finite Carbon – Brosnan Forest",22953,22953,"0%","2016","CCO-8","Compliance",2024-12-31,2018-09-11
"708","CAFR5195-B","U.S. Forest","Finite Carbon","Finite Carbon –",103973,4798,"95%","2016","CCO-8","Compliance",2024-08-31,2017-08-08
"685","CALS5128-B","Livestock","Farm Power Lynden","Farm Power Lynden Anaerobic",9488,0,"100%","2016","CCO-3","Compliance",2019-07-31,2017-06-13
"658","CAOD5073-A","Ozone Depleting Substances","EOS Climate (Blue Source)","EOS CAR 1074",57134,0,"100%","2016","CCO-8","Compliance",2024-05-26,2016-09-13
"646","CAOD5356-A","Ozone Depleting Substances","EOS Climate (Blue Source)","EOS ACR 356",110720,0,"100%","2016","CCO-8","Compliance",2024-12-28,2017-03-21
"645","CAOD5352-A","Ozone Depleting Substances","EOS Climate (Blue Source)","EOS ACR 352",68637,68637,"0%","2016","CCO-8","Compliance",2024-11-01,2016-12-27
"644","CAOD5351-A","Ozone Depleting Substances","EOS Climate (Blue Source)","EOS ACR 351",28562,28562,"0%","2016","CCO-8","Compliance",2024-09-28,2016-12-13
"643","CAOD5278-A","Ozone Depleting Substances","EOS Climate (Blue Source)","EOS ACR 316",104897,4895,"95%","2016","CCO-8","Compliance",2024-09-04,2016-11-08
"642","CAOD5277-A","Ozone Depleting Substances","EOS Climate (Blue Source)","EOS ACR 315",86839,0,"100%","2016","CCO-8","Compliance",2024-08-12,2016-11-08
"641","CAOD5262-A","Ozone Depleting Substances","EOS Climate (Blue Source)","EOS ACR 312",140871,140871,"0%","2016","CCO-8","Compliance",2024-02-25,2016-04-26
"640","CAOD5261-A","Ozone Depleting Substances","EOS Climate (Blue Source)","EOS ACR 311",107264,0,"100%","2016","CCO-8","Compliance",2024-04-13,2016-06-21
"638","CAOD5211-A","Ozone Depleting Substances","EOS Climate (Blue Source)","EOS ACR 271",124882,0,"100%","2016","CCO-8","Compliance",2024-01-24,2016-03-22
"567","CAMM5173-A","Mine Methane","Vessels Coal Inc","Elk Creek Coal Mine Methane",266263,237015,"11%","2016","CCO-0","Compliance",2019-01-31,2016-12-27
"542","CALS5139-B","Livestock","Edaleen Cow Power","Edaleen Cow Power, LLC",8392,8392,"0%","2016","CCO-3","Compliance",2019-08-31,2017-04-25
"507","CAOD5287-A","Ozone Depleting Substances","A-Gas","DPC Domestic ODS",54382,54382,"0%","2016","CCO-3","Compliance",2019-11-05,2017-04-11
"503","CAOD5335-A","Ozone Depleting Substances","A-Gas","DPC Domestic ODS",101950,0,"100%","2016","CCO-0","Compliance",2019-06-11,2016-10-11
"451","CAOD5334-A","Ozone Depleting Substances","A-Gas","DPC Domestic ODS",22548,0,"100%","2016","CCO-0","Compliance",2019-04-30,2016-10-11
"447","CALS5108-B","Livestock","Ag Power Llc","Double A Dairy",54602,53716,"2%","2016","CCO-3","Compliance",2019-12-21,2017-05-23
"409","CALS5127-B","Livestock","Riverview LLP","District 45 Dairy",23396,0,"100%","2016","CCO-3","Compliance",2019-10-31,2017-05-23
"404","CALS5020-C","Livestock","WTE Dairies","Deer Run Digester",6837,6837,"0%","2016","CCO-0","Compliance",2019-03-31,2016-10-25
"386","CALS5021-C","Livestock","WTE Dairies","Dairyland Digester",23033,23033,"0%","2016","CCO-0","Compliance",2019-03-31,2016-10-11
"385","CALS5109-B","Livestock","Native Energy","Dairy Dreams Methane",24473,0,"100%","2016","CCO-3","Compliance",2019-09-30,2017-04-11
"373","CALS5074-C","Livestock","CSE","CSE Arizona Facility",13960,0,"100%","2016","CCO-0","Compliance",2019-03-31,2016-12-27
"341","CALS5151-B","Livestock","Blue Spruce Energy","Cottonwood Dairy Livestock",10438,10438,"0%","2016","CCO-8","Compliance",2024-12-31,2018-10-09
"334","CAMM5244-A","Mine Methane","Keyrock Energy Inc","Corinth Abandoned Mine",298891,0,"100%","2016","CCO-3","Compliance",2019-12-31,2017-03-07
"320","CAOD5339-A","Ozone Depleting Substances","A-Gas","Coolgas 2016-3",133239,0,"100%","2016","CCO-3","Compliance",2019-09-06,2016-11-08
"319","CAOD5282-A","Ozone Depleting Substances","A-Gas","Coolgas 2016-1",145594,145594,"0%","2016","CCO-0","Compliance",2019-04-04,2016-09-13
"317","CAFR5242-A","U.S. Forest","Congaree River,","Congaree River",94711,0,"100%","2016","CCO-8","Compliance",2024-06-30,2017-12-12
"299","CAOD5333-A","Ozone Depleting Substances","ClimeCo Corporation","ClimeCo ODS Destruction 18",226896,155297,"32%","2016","CCO-3","Compliance",2019-12-27,2017-05-23
"289","CALS5123-B","Livestock","Central Sands Dairy","Central Sands Dairy, LLC",16242,0,"100%","2016","CCO-0","Compliance",2019-03-31,2018-02-13
"279","CAFR5238-A","U.S. Forest","Eco Partners","Camp Shelby Forest Carbon",18683,18683,"0%","2016","CCO-8","Compliance",2024-02-28,2017-11-21
"264","CAFR5055-C","U.S. Forest",NA,"Buckeye Forest Project",79600,600,"99%","2016","CCO-0","Compliance",2019-05-31,2017-06-27
"257","CAFR5096-C","U.S. Forest","Coastal Forestlands,","Brushy Mountain",81728,81728,"0%","2016","CCO-3","Compliance",2019-09-30,2017-03-21
"245","CAFR5200-B","U.S. Forest","Edward Miller","Brush Creek",8980,8980,"0%","2016","CCO-8","Compliance",2024-06-30,2018-01-09
"243","CALS5041-C","Livestock","Brook View Dairy","Brook View Dairy Methane",17237,0,"100%","2016","CCO-0","Compliance",2019-01-31,2016-07-12
"213","CALS5122-B","Livestock","Bridgewater Dairy","Bridgewater Dairy LLC",12129,12129,"0%","2016","CCO-0","Compliance",2019-03-31,2016-12-27
